STATE,NAME,ADDRESS,TELEPHONE NUMBER
SELANGOR,PUSAT JAGAAN PERSATUAN INSAN ISTIMEWA CHERAS SELANGOR [B/PJB OKU 003/2012] - BERKEDIAMAN / NGO,"NO. 35, JALAN RAKAN 11, TAMAN RAKAN CHERAS KAJANG 43000 HULU LANGAT, SELANGOR",03-87337611 / 017-3990278
SELANGOR,PUSAT JAGAAN CHATTERKIDZ THERAPHY [NO. DAFTAR : B/PJH OKU 004/2012] - HARIAN / SWASTA,"NO. 1-18, JALAN KENARI 12B, BANDAR PUCHONG JAYA PUCHONG 47180 PETALING (SUBANG JAYA), SELANGOR",016-5519400 
SELANGOR,PUSAT JAGAAN TITIAN OKU NUR [B/PJB OKU 002/2016] - BERKEDIAMAN / SWASTA,"NO. 78, JALAN SENTOSA, KAMPUNG MELAYU BATU 16, RAWANG 48000 GOMBAK, SELANGOR",012-6731816
SELANGOR,PUSAT JAGAAN PERSATUAN ORANG YANG AMAT CACAT AKAL SELANGOR DAN WILAYAH PERSEKUTUAN [B/PJH OKU 006/2016] - HARIAN / NGO,"NO. 16, JALAN 21/11, SEA PARK, 46300 PETALING, SELANGOR",03-78746703 / 019-3555555
SELANGOR,PERSATUAN JAGAAN ORANG-ORANG KURANG UPAYA DAN TERBIAR LOVELY [B/PJB OKU 001/2016] - BERKEDIAMAN / NGO,"NO. 7, JALAN SS 3/80, TAMAN UNIVERSITI, SEA PORT, 47300 PETALING, SELANGOR",03-78768071 
SELANGOR,MAIKIDZ CARE CENTRE [B/PJH OKU 008/2016] - HARIAN / SWASTA,"NO. 17 C, SECOND FLOOR, JALAN 2/8, BANDAR BARU AMPANG, AMPANG 68000 HULU LANGAT, SELANGOR",016-3150019 
SELANGOR,PUSAT JAGAAN CERDIK ISTIMEWA [B/PJH OKU 003/2016] - HARIAN / SWASTA,"D-1-11, RESIDENSI BISTARIA, UKAY BISTARI,  ULU KLANG 68100 GOMBAK, SELANGOR",012-3347307
SELANGOR,PUSAT JAGAAN PERTUBUHAN ORANG-ORANG BERMASALAH PEMBELAJARAN DAYSPRING SELANGOR [B/PJH OKU 002/2016] - HARIAN / SWASTA,"NO. 4, SOLOK LIMAU,  TAMAN MERU, 41050 KLANG, SELANGOR",03-33427467
SELANGOR,PUSAT JAGAAN PERSATUAN KEBANGSAAN AUTISME (CAW. BDR. PUTERI KLANG ) [B/PJH OKU 106/2011] - HARIAN / NGO,"NO. 30, 30A, 32 & 32A,  JALAN SANGGUL 1,  BANDAR PUTERI KLANG 41200 KLANG, SELANGOR",03-51613767 / 03-77104098
SELANGOR,PUSAT JAGAAN PERSATUAN OKU BANGSAR RIA KUALA LUMPUR DAN SELANGOR [B/PJH OKU 004/2013] - HARIAN / NGO [31.07.2013-30.07.2018],"NO 40, JALAN 12/14 SEKSYEN 12  46200 PETALING, SELANGOR",03-79600560 
SELANGOR,LOVELY DISABLE HOME [B/PJH OKU 010/2016] - HARIAN / SWASTA,"NO. 1, JALAN SS2/5 47300 PETALING, SELANGOR",03-78739622
SELANGOR,PUSAT JAGAAN AN-NAJA' EDUCARE CENTRE [B/PJH OKU 012/2016] - HARIAN / SWASTA,"NO. 1, JALAN WAU 7, 11/16 SEKSYEN 11 40100 SHAH ALAM, SELANGOR",03-55133207 
SELANGOR,HOPE BRIDGE I-CARE CENTRE [B/PJH OKU 012/2016] - HARIAN / SWASTA,"NO. 58 JLN SS18/1C 47500 SUBANG JAYA, SELANGOR",NA
SELANGOR,PUSAT JAGAAN RUMAH INSANIAH DR SITI HASMAH [B/PJB OKU 003/2016] - BERKEDIAMAN / NGO,"LOT 5364, TAMAN KANAGAPURAM JALAN 18/22 46000 PETALING, SELANGOR",03-77817681
SELANGOR,PUSAT JAGAAN DAN LATIHAN HARMONI [B/PJH OKU 013/2016] - HARIAN / NGO,"9, JALAN 17/22 SEKSYEN 17 46000 PETALING, SELANGOR",03-79315547
SELANGOR,RUMAH AMAL CHESHIRE [B/PJB OKU 001/2017]- BERKEDIAMAN / NGO,"BATU 7 1/2, JALAN IPOH , SELAYANG, BATU CAVES 68100 GOMBAK, SELANGOR",03-61366151
SELANGOR,PUSAT JAGAAN PERSATUAN KEBANGSAAAN AUTISME MALAYSIA [B/PJH OKU 001/2017] HARIAN/NGO,"NO. 5, LORONG SEPAT 2, TAMAN BERTEK TELUK PULAI, 41300 KLANG, SELANGOR DARUL EHSAN 41300 KLANG, SELANGOR",03-33732991
SELANGOR,PUSAT JAGAAN & LATIHAN INSAN ISTIMEWA IMC [B/PJH OKU 002/2017] HARIAN/ SWASTA,"56, JALAN USJ 4/6E, 47600 SUBANG JAYA, SELANGOR 47600 SUBANG JAYA, SELANGOR",03-80232215
SELANGOR,VINCENT'S SUNSHINE DAYCARE CENTRE [B/PJH OKU 004/2017] - HARIAN / SWASTA,"LOT SP-9, THE STREET MALL, PERSIARAN MUTIMEDIA, 63000 CYBERJAYA 63000 SEPANG, SELANGOR",012-3367889
SELANGOR,PUSAT JAGAAN NUR IEQA [B/PJB OKU 002/2017] - BERKEDIAMAN / SWASTA,"NO.11, JALAN MELATI 1, TAMAN SERI SERENDAH, 48200 SERENDAH, SELANGOR 48200 HULU SELANGOR, SELANGOR",017-7074010
SELANGOR,CHATTERKIDZ THERAPHY CARE CENTRE - [B/PJH OKU 006/2017] - HARIAN / SWASTA,"1-18, JALAN KENARI 12B, BANDAR PUCHONG JAYA, 47180 PUCHONG, SELANGOR 47180 SUBANG JAYA, SELANGOR",019-9891707
SELANGOR,BRIGHT STARTS DAY CARE CENTRE - [B/PJH OKU 005/2017] - HARIAN / SWASTA,"NO.2A, JALAN PP2/3, TAMAN PUTRA PRIMA, 47120 PUCHONG, SELANGOR 47120 SEPANG, SELANGOR",012-9382704
SELANGOR,NUHA KIDS CARE CENTRE PLT -[B/PJH OKU 009/2017] HARIAN / SWSTA,"NO.55, JALAN PUNCAK SAUJANA 5/2D, TAMAN PUNCAK SAUJANA, SEKSYEN 5, 43000 KAJANG, SELANGOR 43000 HULU LANGAT, SELANGOR",010-5378785
SELANGOR,PUSAT JAGAAN HATCHING EDUCATION SDN. BHD - [B/PJH OKU 010/2017] HARIAN / SWASTA,"15-B, JALAN SUARASA 8/3, JALAN PARK 1, BANDAR TUN HUSSEIN ONN, 43200 CHERAS, SELANGOR 43200 HULU LANGAT, SELANGOR",011-11338518
SELANGOR,PUSAT JAGAAN ORKIDS - OUR KIDS ARE SPECIAL - [B/PJH OKU 011/2017] - HARIAN / NGO,"2 JALAN 22/57, SEKSYEN 22, 46300 PETALING JAYA, SELANGOR 46300 PETALING, SELANGOR",03-78659065
SELANGOR,SENSE -ATIONAL KIDZ CARE CENTRE -[B/PJH OKU 001/2018] - HARIAN /SWASTA - 16.1.2018 HINGGA 15.1.2023,"NO.1-8, DAGANG AVENUE, JALAN DAGANG B/3A, TAMAN DAGANG, 68000 AMPANG, SELANGOR 68000 HULU LANGAT, SELANGOR",03-42880500
SELANGOR,PUSAT JAGAAN PERSATUAN PENDIDIKAN ANAK ISTIMEWA SELANGOR -[B/PJH OKU 002/2018] - HARIAN / NGO,"NO.32, JALAN HP 8/3A, HILLPARK 3, 43500 SEMENYIH, SELANGOR 43500 HULU LANGAT, SELANGOR",017-3040696
SELANGOR,PUSAT JAGAAN RUMAH AMAL MURNI KAJANG - [B/PJB WT 006/2013] BERKEDIAMAN / NGO [30.09.2013-29.09.2018],"NO. 58 & 59, JALAN BUKIT, 43000 KAJANG SELANGOR DARUL EHSAN 43000 HULU LANGAT, SELANGOR",03-8734812
SELANGOR,PUSAT JAGAAN KASIH SAYANG YWCA KLANG [B/PJB OKU 002/2018] - BERKEDIAMAN / NGO [30.4.2018-29.4.2023],"NO.134 LEBOH SERAYA, TAMAN PALM GROVE, 41200 KLANG, SELANGOR 41200 , SELANGOR",03-33721723
TERENGGANU,NA,NA,NA
PUTRAJAYA,NA,NA,NA
PERLIS,NA,NA,NA
KUALA LUMPUR,PUSAT JAGAAN IMPIAN (INSTITUT MASALAH PEMBELAJARAN & AUSTISME MALAYSIA),"NO. 4 PERSIARAN TITIWANGSA 53200 , KUALA LUMPUR",03-40220308
KUALA LUMPUR,PUSAT JAGAAN PUSAT LATIHAN VOKASIONAL & PENDIDIKAN DEWASA,"WISMA HARAPAN, 522 JALAN SULTAN ABDUL SAMAD  BRICKFIELD 50470 , KUALA LUMPUR",03-22741457
KUALA LUMPUR,PUSAT JAGAAN DYSLEXIA,"NO. JKR 3488, JALAN AMPANG HILIR 4 50000 , KUALA LUMPUR",03-42516100
KUALA LUMPUR,PERSATUAN KEBANGSAAN AUTISME MALAYSIA (NASOM) [W/PJH OKU / 003/2017] [06.12.2017 - 05.12.2022] HARIAN/ NGO,"LOT SD 44, JALAN AMZIL, TAMAN ROWTHER 68100 KUALA LUMPUR, KUALA LUMPUR",03-78317928
KUALA LUMPUR,PUSAT JAGAAN PERSATUAN UNTUK ORANG KURANG UPAYA AKAL SELANGOR DAN WILAYAH PERSEKUTUAN [W/PJH OKU 004/2017] [26.12.2017 - 25.12.2022] - HARIAN / NGO,"WISMA HARAPAN, 522, JALAN SULTAN ABDUL SAMAD, BRICKFIELDS, 50470 KUALA LUMPUR, KUALA LUMPUR",03-22741457
KUALA LUMPUR,PUSAT JAGAAN TASPUTRA PERKIM [W/PJH OKU 001/2017] [21.06.2017 - 20.06.2022] BERKEDIAMAN / NGO,"BANGUNAN JKR, NO. 2808-85, LINGKUNGAN U-THANT JALAN AMPANG 55000 KUALA LUMPUR, KUALA LUMPUR",03-42516100
KUALA LUMPUR,ASRAMA CAHAYA RUMAH WANITA CACAT [W/PJB OKU 001/2017] [30.03.2017 - 29.03.2022] BERKEDIAMAN / NGO,"INFANT JESUS CONVENT,  JALAN BUKIT NENAS, 50250 KUALA LUMPUR, KUALA LUMPUR",03-20780736
KUALA LUMPUR,PERSATUAN KEBANGSAAN AUTISME MALAYSIA (NASOM) [W/PJB OKU 002/2016] [05.08.2016 - 04.08.2021] - BERKEDIAMAN / NGO,"NO. 2, JALAN 7/18B, TAMAN BATU PERMAI, BATU 5, OFF JALAN IPOH 51200 KUALA LUMPUR, KUALA LUMPUR",03-62574385
KUALA LUMPUR,"PUSAT LATIHAN GURNEY, PERSATUAN ORANG BUTA MALAYSIA [W/PJB OKU 001/2016] [30.06.2016 - 29.06.2021] - BERKEDIAMAN / NGO","KOMPLEKS MAB, JALAN TEBING, OFF  JALAN TUN SAMBANTHAN 4,  50470 KUALA LUMPUR, KUALA LUMPUR",03-22722677
KUALA LUMPUR,PUSAT JAGAAN IMPIAN (INSTITUT MASALAH PEMBELAJARAN DAN AUTISME MALAYSIA) [W/PJH OKU 001/2016] [19.04.2016 - 18.04.2021] - HARIAN / NGO,"NO. 4, PERSIARAN TITIWANGSA 53200 KUALA LUMPUR, KUALA LUMPUR",03-40220308
KUALA LUMPUR,PERSATUAN KEBANGSAAN AUTISME MALAYSIA [W/PJH OKU 001/2015] [06.07.2015 - 05.07.2020] - HARIAN / NGO,"NO. 42, JALAN SATANG 2, MEDAN IDAMAN GOMBAK 53100 KUALA LUMPUR, KUALA LUMPUR",03-78868233
KUALA LUMPUR,THE LEARNING CONNECTION CARE CENTRE [W/PJH OKU 001/2013] [15.07.2013 - 14.07.2018] - HARIAN / SWASTA,"NO. 93, JALAN SOLARIS 2,  MONT KIARA SOLARIS 50480 KUALA LUMPUR, KUALA LUMPUR",03-62036427
LABUAN,PUSAT JAGAAN PERSATUAN BAGI ORANG-ORANG ISTIMEWA LABUAN,"WP LABUAN 87000 LABUAN, LABUAN",NA
